Sample,Species,Host,Country
SRX2527043,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527044,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527048,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527051,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527054,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527056,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527057,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527059,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527061,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527064,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527065,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527067,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527069,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527071,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527073,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527075,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527077,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527078,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527079,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527082,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527084,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527086,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527088,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527090,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527092,CERVINE-NZ,NON-RESERVOIR,New Zealand
SRX2527094,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527096,PORCINE-NZ,NON-RESERVOIR,New Zealand
SRX2527098,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527101,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527103,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527104,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527106,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527108,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527111,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527113,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527115,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527116,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527117,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527120,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527122,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527123,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527124,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527125,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527127,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527129,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527131,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527133,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527137,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527138,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527139,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527140,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527142,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527143,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527147,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527148,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527150,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527151,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527153,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527156,PORCINE-NZ,NON-RESERVOIR,New Zealand
SRX2527157,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527158,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527159,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527160,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527162,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527167,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527168,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527170,POSSUM-NZ,RESERVOIR,New Zealand
